Case Number,Case Type,Law Firm,Date,Status,Reference Number,View Options
2023/66217,Real Estate Appeal case filing,سهاد الجبوري للمحاماة والإستشارات القانونية,23-02-2023,The Application Has Been Executed,2023/114 Real estate appeal,"Choose View Option
    View the application
    View the case
    View the payment receipt"
2023/65732,Real Estates Case Filing,سهاد الجبوري للمحاماة والإستشارات القانونية,23-02-2023,The Application Has Been Executed,2023/254 Real Estates,"Choose View Option
    View the application
    View the case
    View the payment receipt"
2023/64832,Real Estates Case Filing,سهاد الجبوري للمحاماة والإستشارات القانونية,22-02-2023,The Application Has Been Executed,2023/249 Real Estates,"Choose View Option
    View the application
    View the case
    View the payment receipt"
2023/64644,Real Estates Case Filing,سهاد الجبوري للمحاماة والإستشارات القانونية,22-02-2023,The Application Has Been Executed,2023/253 Real Estates,"Choose View Option
    View the application
    View the case
    View the payment receipt"
2023/63364,Real estate Cassation Appeal case filing,سهاد الجبوري للمحاماة والإستشارات القانونية,21-02-2023,Case Filed,"2023/198 Objection, real estate","Choose View Option
    View the application
    View the case
    View the payment receipt"
2023/63158,Real Estate Execution case filing,سهاد الجبوري للمحاماة والإستشارات القانونية,21-02-2023,Case Filed,"2023/265 Execution, real estate","Choose View Option
    View the application
    View the case
    View the payment receipt"
2023/61467,Real Estate Execution case filing,سهاد الجبوري للمحاماة والإستشارات القانونية,20-02-2023,Case Filed,"2023/261 Execution, real estate","Choose View Option
    View the application
    View the case
    View the payment receipt"
2023/61420,Real Estate Execution case filing,سهاد الجبوري للمحاماة والإستشارات القانونية,20-02-2023,Case Filed,"2023/257 Execution, real estate","Choose View Option
    View the application
    View the case
    View the payment receipt"
2023/60900,Labor-appeal case filing,سهاد الجبوري للمحاماة والإستشارات القانونية,20-02-2023,The Application Has Been Executed,2023/276 Labor appeal,"Choose View Option
    View the application
    View the case
    View the payment receipt"
2023/60561,Labor-appeal case filing,سهاد الجبوري للمحاماة والإستشارات القانونية,20-02-2023,The Application Has Been Executed,2023/253 Labor appeal,"Choose View Option
    View the application
    View the case
    View the payment receipt"
2023/60454,Real Estates Case Filing,سهاد الجبوري للمحاماة والإستشارات القانونية,20-02-2023,The Application Has Been Executed,2023/250 Real Estates,"Choose View Option
    View the application
    View the case
    View the payment receipt"
2023/60430,Real estate Cassation Appeal case filing,سهاد الجبوري للمحاماة والإستشارات القانونية,20-02-2023,Case Filed,"2023/186 Objection, real estate","Choose View Option
    View the application
    View the case
    View the payment receipt"
2023/60333,Appeal of share'i order on petition case filing,سهاد الجبوري للمحاماة والإستشارات القانونية,20-02-2023,Case Filed,"2023/4 Appeal of an order on petition, Sharia","Choose View Option
    View the application
    View the case
    View the payment receipt"
2023/60017,Real Estates Case Filing,سهاد الجبوري للمحاماة والإستشارات القانونية,20-02-2023,The Application Has Been Executed,2023/234 Real Estates,"Choose View Option
    View the application
    View the case
    View the payment receipt"
2023/58846,Commercial execution case filing,سهاد الجبوري للمحاماة والإستشارات القانونية,17-02-2023,Case Filed,"2023/1500 Execution, commercial","Choose View Option
    View the application
    View the case
    View the payment receipt"
2023/58715,Expert Appointment,سهاد الجبوري للمحاماة والإستشارات القانونية,17-02-2023,The Application Has Been Executed,2023/179 Expert Appointment,"Choose View Option
    View the application
    View the case
    View the payment receipt"
2023/58638,Real Estate Execution case filing,سهاد الجبوري للمحاماة والإستشارات القانونية,17-02-2023,Case Filed,"2023/241 Execution, real estate","Choose View Option
    View the application
    View the case
    View the payment receipt"
2023/58616,Commercial Cassation Appeal case filing,سهاد الجبوري للمحاماة والإستشارات القانونية,17-02-2023,The Application Has Been Executed,"2023/337 Objection, commercial","Choose View Option
    View the application
    View the case
    View the payment receipt"
2023/57915,Real Estate Execution case filing,سهاد الجبوري للمحاماة والإستشارات القانونية,16-02-2023,Case Filed,"2023/237 Execution, real estate","Choose View Option
    View the application
    View the case
    View the payment receipt"
2023/57736,Real Estate Execution case filing,سهاد الجبوري للمحاماة والإستشارات القانونية,16-02-2023,Case Filed,"2023/235 Execution, real estate","Choose View Option
    View the application
    View the case
    View the payment receipt"
2023/57618,Real Estate Execution case filing,سهاد الجبوري للمحاماة والإستشارات القانونية,16-02-2023,Case Filed,"2023/236 Execution, real estate","Choose View Option
    View the application
    View the case
    View the payment receipt"
2023/57608,Real Estates Case Filing,سهاد الجبوري للمحاماة والإستشارات القانونية,16-02-2023,The Application Has Been Executed,2023/225 Real Estates,"Choose View Option
    View the application
    View the case
    View the payment receipt"
2023/54735,Real Estates Case Filing,سهاد الجبوري للمحاماة والإستشارات القانونية,14-02-2023,The Application Has Been Executed,2023/218 Real Estates,"Choose View Option
    View the application
    View the case
    View the payment receipt"
2023/54541,Commercial Grievance case filing,سهاد الجبوري للمحاماة والإستشارات القانونية,14-02-2023,Case Filed,"2023/78 Grievance, commercial","Choose View Option
    View the application
    View the case
    View the payment receipt"
2023/52551,Commercial Cassation Appeal case filing,سهاد الجبوري للمحاماة والإستشارات القانونية,13-02-2023,The Application Has Been Executed,"2023/299 Objection, commercial","Choose View Option
    View the application
    View the case
    View the payment receipt"
2023/50191,Conjugal matters case filing,سهاد الجبوري للمحاماة والإستشارات القانونية,10/2/2023,Case Filed,2023/985 Marital matters,"Choose View Option
    View the application
    View the case"
