Case Number,Case Type,Law Firm,Date,Status,Reference Number,View Options
2024/31535,Real Estate Execution case filing,سهاد الجبوري للمحاماة والإستشارات القانونية,24-01-2024,Case Filed,"2024/153 Execution, real estate","Choose View Option
    View the application
    View the case
    View the payment receipt"
2024/31364,Civil Case Filing,سهاد الجبوري للمحاماة والإستشارات القانونية,24-01-2024,The Application Has Been Executed,2024/437 Civil,"Choose View Option
    View the application
    View the case
    View the payment receipt"
2024/29555,Value-Specific Dispute Case Filing,سهاد الجبوري للمحاماة والإستشارات القانونية,23-01-2024,The Application Has Been Executed,2024/791 Value-Specific Dispute,"Choose View Option
    View the application
    View the case
    View the payment receipt"
2024/29533,Value-Specific Dispute Case Filing,سهاد الجبوري للمحاماة والإستشارات القانونية,23-01-2024,The Application Has Been Executed,2024/865 Value-Specific Dispute,"Choose View Option
    View the application
    View the case
    View the payment receipt"
2024/29513,Value-Specific Dispute Case Filing,سهاد الجبوري للمحاماة والإستشارات القانونية,23-01-2024,The Application Has Been Executed,2024/866 Value-Specific Dispute,"Choose View Option
    View the application
    View the case
    View the payment receipt"
2024/29470,Value-Specific Dispute Case Filing,سهاد الجبوري للمحاماة والإستشارات القانونية,23-01-2024,The Application Has Been Executed,2024/792 Value-Specific Dispute,"Choose View Option
    View the application
    View the case
    View the payment receipt"
2024/29409,Value-Specific Dispute Case Filing,سهاد الجبوري للمحاماة والإستشارات القانونية,23-01-2024,The Application Has Been Executed,2024/793 Value-Specific Dispute,"Choose View Option
    View the application
    View the case
    View the payment receipt"
2024/29364,Value-Specific Dispute Case Filing,سهاد الجبوري للمحاماة والإستشارات القانونية,23-01-2024,The Application Has Been Executed,2024/867 Value-Specific Dispute,"Choose View Option
    View the application
    View the case
    View the payment receipt"
2024/29333,Value-Specific Dispute Case Filing,سهاد الجبوري للمحاماة والإستشارات القانونية,23-01-2024,The Application Has Been Executed,2024/868 Value-Specific Dispute,"Choose View Option
    View the application
    View the case
    View the payment receipt"
2024/29315,Value-Specific Dispute Case Filing,سهاد الجبوري للمحاماة والإستشارات القانونية,23-01-2024,The Application Has Been Executed,2024/794 Value-Specific Dispute,"Choose View Option
    View the application
    View the case
    View the payment receipt"
2024/29236,Value-Specific Dispute Case Filing,سهاد الجبوري للمحاماة والإستشارات القانونية,23-01-2024,The Application Has Been Executed,2024/795 Value-Specific Dispute,"Choose View Option
    View the application
    View the case
    View the payment receipt"
2024/29219,Value-Specific Dispute Case Filing,سهاد الجبوري للمحاماة والإستشارات القانونية,23-01-2024,The Application Has Been Executed,2024/796 Value-Specific Dispute,"Choose View Option
    View the application
    View the case
    View the payment receipt"
2024/29189,Value-Specific Dispute Case Filing,سهاد الجبوري للمحاماة والإستشارات القانونية,23-01-2024,The Application Has Been Executed,2024/797 Value-Specific Dispute,"Choose View Option
    View the application
    View the case
    View the payment receipt"
2024/29147,Value-Specific Dispute Case Filing,سهاد الجبوري للمحاماة والإستشارات القانونية,23-01-2024,The Application Has Been Executed,2024/869 Value-Specific Dispute,"Choose View Option
    View the application
    View the case
    View the payment receipt"
2024/29121,Value-Specific Dispute Case Filing,سهاد الجبوري للمحاماة والإستشارات القانونية,23-01-2024,The Application Has Been Executed,2024/870 Value-Specific Dispute,"Choose View Option
    View the application
    View the case
    View the payment receipt"
2024/29057,Value-Specific Dispute Case Filing,سهاد الجبوري للمحاماة والإستشارات القانونية,23-01-2024,The Application Has Been Executed,2024/802 Value-Specific Dispute,"Choose View Option
    View the application
    View the case
    View the payment receipt"
2024/29016,Value-Specific Dispute Case Filing,سهاد الجبوري للمحاماة والإستشارات القانونية,23-01-2024,The Application Has Been Executed,2024/798 Value-Specific Dispute,"Choose View Option
    View the application
    View the case
    View the payment receipt"
2024/28965,Value-Specific Dispute Case Filing,سهاد الجبوري للمحاماة والإستشارات القانونية,23-01-2024,The Application Has Been Executed,2024/801 Value-Specific Dispute,"Choose View Option
    View the application
    View the case
    View the payment receipt"
2024/28957,Value-Specific Dispute Case Filing,سهاد الجبوري للمحاماة والإستشارات القانونية,23-01-2024,The Application Has Been Executed,2024/770 Value-Specific Dispute,"Choose View Option
    View the application
    View the case
    View the payment receipt"
2024/28422,Real Estate Execution case filing,سهاد الجبوري للمحاماة والإستشارات القانونية,23-01-2024,Case Filed,"2024/146 Execution, real estate","Choose View Option
    View the application
    View the case
    View the payment receipt"
2024/27714,Real estate Cassation Appeal case filing,سهاد الجبوري للمحاماة والإستشارات القانونية,22-01-2024,Case Filed,"2024/55 Objection, real estate","Choose View Option
    View the application
    View the case
    View the payment receipt"
2024/27444,Real Estates Case Filing,سهاد الجبوري للمحاماة والإستشارات القانونية,22-01-2024,The Application Has Been Executed,2024/196 Real Estates,"Choose View Option
    View the application
    View the case
    View the payment receipt"
2024/27420,Real Estates Case Filing,سهاد الجبوري للمحاماة والإستشارات القانونية,22-01-2024,The Application Has Been Executed,2024/197 Real Estates,"Choose View Option
    View the application
    View the case
    View the payment receipt"
2024/23753,Real estate Cassation Appeal case filing,سهاد الجبوري للمحاماة والإستشارات القانونية,18-01-2024,Case Filed,"2024/47 Objection, real estate","Choose View Option
    View the application
    View the case
    View the payment receipt"
2024/23491,Real Estates Case Filing,سهاد الجبوري للمحاماة والإستشارات القانونية,18-01-2024,The Application Has Been Executed,2024/171 Real Estates,"Choose View Option
    View the application
    View the case
    View the payment receipt"
2024/23360,Real Estates Case Filing,سهاد الجبوري للمحاماة والإستشارات القانونية,18-01-2024,The Application Has Been Executed,2024/172 Real Estates,"Choose View Option
    View the application
    View the case
    View the payment receipt"
2024/23342,Real Estates Case Filing,سهاد الجبوري للمحاماة والإستشارات القانونية,18-01-2024,The Application Has Been Executed,2024/173 Real Estates,"Choose View Option
    View the application
    View the case
    View the payment receipt"
2024/23179,Real Estates Case Filing,سهاد الجبوري للمحاماة والإستشارات القانونية,18-01-2024,The Application Has Been Executed,2024/200 Real Estates,"Choose View Option
    View the application
    View the case
    View the payment receipt"
2024/22635,Real Estate Execution case filing,سهاد الجبوري للمحاماة والإستشارات القانونية,18-01-2024,Case Filed,"2024/140 Execution, real estate","Choose View Option
    View the application
    View the case
    View the payment receipt"
2024/20711,Share'i execution case filing,سهاد الجبوري للمحاماة والإستشارات القانونية,17-01-2024,Case Filed,"2024/105 Execution, Sharia","Choose View Option
    View the application
    View the case
    View the payment receipt"
2024/20662,Civil appeal case filing,سهاد الجبوري للمحاماة والإستشارات القانونية,17-01-2024,The Application Has Been Executed,2024/70 Civil appeal,"Choose View Option
    View the application
    View the case
    View the payment receipt"
2024/18762,Civil Case Filing,سهاد الجبوري للمحاماة والإستشارات القانونية,16-01-2024,The Application Has Been Executed,2024/248 Civil,"Choose View Option
    View the application
    View the case
    View the payment receipt"
2024/18657,Non-Muslims conjugal cases case filing,سهاد الجبوري للمحاماة والإستشارات القانونية,16-01-2024,Case Filed,2024/62 Marital matters for non-Muslims,"Choose View Option
    View the application
    View the case"
2024/17747,Real Estates Case Filing,سهاد الجبوري للمحاماة والإستشارات القانونية,15-01-2024,The Application Has Been Executed,2024/147 Real Estates,"Choose View Option
    View the application
    View the case
    View the payment receipt"
2024/17595,Value-Specific Dispute Case Filing,سهاد الجبوري للمحاماة والإستشارات القانونية,15-01-2024,The Application Has Been Executed,2024/634 Value-Specific Dispute,"Choose View Option
    View the application
    View the case
    View the payment receipt"
2024/17524,Real Estates Case Filing,سهاد الجبوري للمحاماة والإستشارات القانونية,15-01-2024,The Application Has Been Executed,2024/148 Real Estates,"Choose View Option
    View the application
    View the case
    View the payment receipt"
2024/17514,Real Estates Case Filing,سهاد الجبوري للمحاماة والإستشارات القانونية,15-01-2024,The Application Has Been Executed,2024/149 Real Estates,"Choose View Option
    View the application
    View the case
    View the payment receipt"
2024/17322,Real Estates Case Filing,سهاد الجبوري للمحاماة والإستشارات القانونية,15-01-2024,The Application Has Been Executed,2024/150 Real Estates,"Choose View Option
    View the application
    View the case
    View the payment receipt"
2024/17201,Civil Case Filing,سهاد الجبوري للمحاماة والإستشارات القانونية,15-01-2024,The Application Has Been Executed,2024/226 Civil,"Choose View Option
    View the application
    View the case
    View the payment receipt"
2024/16799,Labor Case Filing,سهاد الجبوري للمحاماة والإستشارات القانونية,15-01-2024,The Application Has Been Executed,2024/1093 Labor,"Choose View Option
    View the application
    View the case
    View the payment receipt"
2024/15330,Commercial execution case filing,سهاد الجبوري للمحاماة والإستشارات القانونية,12/1/2024,Case Filed,"2024/352 Execution, commercial","Choose View Option
    View the application
    View the case
    View the payment receipt"
2024/15285,Commercial appeal case filing,سهاد الجبوري للمحاماة والإستشارات القانونية,12/1/2024,The Application Has Been Executed,2024/74 Commercial appeal,"Choose View Option
    View the application
    View the case
    View the payment receipt"
2024/12365,Real estate Cassation Appeal case filing,سهاد الجبوري للمحاماة والإستشارات القانونية,10/1/2024,Case Filed,"2024/32 Objection, real estate","Choose View Option
    View the application
    View the case
    View the payment receipt"
2024/12270,Civil Case Filing,سهاد الجبوري للمحاماة والإستشارات القانونية,10/1/2024,Rejected (عدم استجابة العميل لتقديم التعديلات لمطلوبة),,"Choose View Option
    View the application"
2024/11496,Expert Appointment,سهاد الجبوري للمحاماة والإستشارات القانونية,10/1/2024,The Application Has Been Executed,2024/34 Expert Appointment,"Choose View Option
    View the application
    View the case
    View the payment receipt"
2024/8447,Real Estates Case Filing,سهاد الجبوري للمحاماة والإستشارات القانونية,8/1/2024,The Application Has Been Executed,2024/51 Real Estates,"Choose View Option
    View the application
    View the case
    View the payment receipt"
2024/8187,Cheques Execution,سهاد الجبوري للمحاماة والإستشارات القانونية,8/1/2024,The Application Has Been Executed,2024/682 Cheques Execution,"Choose View Option
    View the application
    View the case
    View the payment receipt"
2024/8141,Real Estates Case Filing,سهاد الجبوري للمحاماة والإستشارات القانونية,8/1/2024,The Application Has Been Executed,2024/52 Real Estates,"Choose View Option
    View the application
    View the case
    View the payment receipt"
2024/8137,Real Estates Case Filing,سهاد الجبوري للمحاماة والإستشارات القانونية,8/1/2024,The Application Has Been Executed,2024/53 Real Estates,"Choose View Option
    View the application
    View the case
    View the payment receipt"
2024/4709,Real Estate Grievance case filing,سهاد الجبوري للمحاماة والإستشارات القانونية,4/1/2024,Case Filed,"2024/3 Grievance, real estate","Choose View Option
    View the application
    View the case
    View the payment receipt"
2024/3586,Labor execution case filing,سهاد الجبوري للمحاماة والإستشارات القانونية,3/1/2024,Case Filed,"2024/263 Execution, labor","Choose View Option
    View the application
    View the case
    View the payment receipt"
2024/3369,Value-Specific Dispute Case Filing,سهاد الجبوري للمحاماة والإستشارات القانونية,3/1/2024,The Application Has Been Executed,2024/164 Value-Specific Dispute,"Choose View Option
    View the application
    View the case
    View the payment receipt"
2024/3264,Value-Specific Dispute Case Filing,سهاد الجبوري للمحاماة والإستشارات القانونية,3/1/2024,The Application Has Been Executed,2024/576 Value-Specific Dispute,"Choose View Option
    View the application
    View the case
    View the payment receipt"
2024/1776,Real Estates Case Filing,سهاد الجبوري للمحاماة والإستشارات القانونية,2/1/2024,The Application Has Been Executed,2024/10 Real Estates,"Choose View Option
    View the application
    View the case
    View the payment receipt"
2024/1264,Labour Order on petition case filing,سهاد الجبوري للمحاماة والإستشارات القانونية,2/1/2024,The Application Has Been Executed,"2024/1 Order on petition, labor","Choose View Option
    View the application
    View the case
    View the payment receipt"
2024/404,Real Estate Execution case filing,سهاد الجبوري للمحاماة والإستشارات القانونية,2/1/2024,Case Filed,"2024/60 Execution, real estate","Choose View Option
    View the application
    View the case
    View the payment receipt"
2024/87,Appeal of commercial execution case filing,سهاد الجبوري للمحاماة والإستشارات القانونية,1/1/2024,Case Filed,2024/1 Appeal of commercial execution,"Choose View Option
    View the application
    View the case"
2023/449088,Real Estate Appeal case filing,سهاد الجبوري للمحاماة والإستشارات القانونية,28-12-2023,The Application Has Been Executed,2024/24 Real estate appeal,"Choose View Option
    View the application
    View the case
    View the payment receipt"
2023/447617,Real Estate Execution case filing,سهاد الجبوري للمحاماة والإستشارات القانونية,27-12-2023,Case Filed,"2024/6 Execution, real estate","Choose View Option
    View the application
    View the case
    View the payment receipt"
2023/447522,Real estate Cassation Appeal case filing,سهاد الجبوري للمحاماة والإستشارات القانونية,27-12-2023,Case Filed,"2023/965 Objection, real estate","Choose View Option
    View the application
    View the case
    View the payment receipt"
2023/447259,Personal Status of non-Muslims case filing,سهاد الجبوري للمحاماة والإستشارات القانونية,27-12-2023,Case Filed,"2023/759 Personal Status, Non-Muslims","Choose View Option
    View the application
    View the case
    View the payment receipt"
2023/445356,Real Estate Execution case filing,سهاد الجبوري للمحاماة والإستشارات القانونية,26-12-2023,Case Filed,"2024/30 Execution, real estate","Choose View Option
    View the application
    View the case
    View the payment receipt"
2023/443143,Real Estate Appeal case filing,سهاد الجبوري للمحاماة والإستشارات القانونية,25-12-2023,The Application Has Been Executed,2023/937 Real estate appeal,"Choose View Option
    View the application
    View the case
    View the payment receipt"
2023/441742,Commercial Case Filing,سهاد الجبوري للمحاماة والإستشارات القانونية,22-12-2023,The Application Has Been Executed,2023/5588 Commercial,"Choose View Option
    View the application
    View the case
    View the payment receipt"
2023/438902,Real estate Cassation Appeal case filing,سهاد الجبوري للمحاماة والإستشارات القانونية,20-12-2023,Case Filed,"2023/940 Objection, real estate","Choose View Option
    View the application
    View the case
    View the payment receipt"
2023/436463,Real estate Cassation Appeal case filing,سهاد الجبوري للمحاماة والإستشارات القانونية,19-12-2023,Case Filed,"2023/937 Objection, real estate","Choose View Option
    View the application
    View the case
    View the payment receipt"
2023/435416,Order on Travel Ban,سهاد الجبوري للمحاماة والإستشارات القانونية,19-12-2023,The Application Has Been Executed,2023/1762 Order on Travel Ban,"Choose View Option
    View the application
    View the case
    View the payment receipt"
2023/434813,Real Estate Order on petition case filing,سهاد الجبوري للمحاماة والإستشارات القانونية,18-12-2023,The Application Has Been Executed,"2023/35 Order on petition, real estate","Choose View Option
    View the application
    View the case
    View the payment receipt"
2023/434379,Real Estate Execution case filing,سهاد الجبوري للمحاماة والإستشارات القانونية,18-12-2023,Case Filed,"2023/1108 Execution, real estate","Choose View Option
    View the application
    View the case
    View the payment receipt"
2023/433299,Appeal of commercial execution case filing,سهاد الجبوري للمحاماة والإستشارات القانونية,18-12-2023,Case Filed,2023/626 Appeal of commercial execution,"Choose View Option
    View the application
    View the case
    View the payment receipt"
2023/430837,Real Estate Execution case filing,سهاد الجبوري للمحاماة والإستشارات القانونية,14-12-2023,Rejected (Application Submission Is Invalid),,"Choose View Option
    View the application"
2023/430783,Real estate Cassation Appeal case filing,سهاد الجبوري للمحاماة والإستشارات القانونية,14-12-2023,Case Filed,"2023/925 Objection, real estate","Choose View Option
    View the application
    View the case
    View the payment receipt"
2023/430519,Real estate Cassation Appeal case filing,سهاد الجبوري للمحاماة والإستشارات القانونية,14-12-2023,Case Filed,"2023/924 Objection, real estate","Choose View Option
    View the application
    View the case
    View the payment receipt"
2023/429723,Value-Specific Dispute Case Filing,سهاد الجبوري للمحاماة والإستشارات القانونية,14-12-2023,The Application Has Been Executed,2023/12618 Value-Specific Dispute,"Choose View Option
    View the application
    View the case
    View the payment receipt"
2023/429170,Order on Travel Ban,سهاد الجبوري للمحاماة والإستشارات القانونية,13-12-2023,The Application Has Been Executed,2023/1731 Order on Travel Ban,"Choose View Option
    View the application
    View the case
    View the payment receipt"
2023/427896,Personal Status of non-Muslims case filing,سهاد الجبوري للمحاماة والإستشارات القانونية,13-12-2023,Case Filed,"2023/730 Personal Status, Non-Muslims","Choose View Option
    View the application
    View the case
    View the payment receipt"
2023/427136,Real Estate Execution case filing,سهاد الجبوري للمحاماة والإستشارات القانونية,12/12/2023,Case Filed,"2023/1094 Execution, real estate","Choose View Option
    View the application
    View the case
    View the payment receipt"
2023/426830,Real Estate Appeal case filing,سهاد الجبوري للمحاماة والإستشارات القانونية,12/12/2023,The Application Has Been Executed,2023/909 Real estate appeal,"Choose View Option
    View the application
    View the case
    View the payment receipt"
2023/426612,Real estate Cassation Appeal case filing,سهاد الجبوري للمحاماة والإستشارات القانونية,12/12/2023,Case Filed,"2023/913 Objection, real estate","Choose View Option
    View the application
    View the case
    View the payment receipt"
2023/426212,Value-Specific Dispute Case Filing,سهاد الجبوري للمحاماة والإستشارات القانونية,12/12/2023,The Application Has Been Executed,2023/12498 Value-Specific Dispute,"Choose View Option
    View the application
    View the case
    View the payment receipt"
2023/425985,Real Estates Case Filing,سهاد الجبوري للمحاماة والإستشارات القانونية,12/12/2023,The Application Has Been Executed,2023/1696 Real Estates,"Choose View Option
    View the application
    View the case
    View the payment receipt"
2023/425321,Real Estates Case Filing,سهاد الجبوري للمحاماة والإستشارات القانونية,11/12/2023,The Application Has Been Executed,2023/1710 Real Estates,"Choose View Option
    View the application
    View the case
    View the payment receipt"
2023/425159,Real Estate Execution case filing,سهاد الجبوري للمحاماة والإستشارات القانونية,11/12/2023,Case Filed,"2023/1088 Execution, real estate","Choose View Option
    View the application
    View the case
    View the payment receipt"
2023/423511,Commercial Cassation Appeal case filing,سهاد الجبوري للمحاماة والإستشارات القانونية,11/12/2023,The Application Has Been Executed,"2023/1727 Objection, commercial","Choose View Option
    View the application
    View the case
    View the payment receipt"
2023/422385,Real Estate Appeal case filing,سهاد الجبوري للمحاماة والإستشارات القانونية,8/12/2023,The Application Has Been Executed,2023/888 Real estate appeal,"Choose View Option
    View the application
    View the case
    View the payment receipt"
2023/421246,Real Estate Appeal case filing,سهاد الجبوري للمحاماة والإستشارات القانونية,7/12/2023,The Application Has Been Executed,2023/890 Real estate appeal,"Choose View Option
    View the application
    View the case
    View the payment receipt"
2023/420147,Civil Case Filing,سهاد الجبوري للمحاماة والإستشارات القانونية,7/12/2023,The Application Has Been Executed,2023/4422 Civil,"Choose View Option
    View the application
    View the case
    View the payment receipt"
2023/419206,Real Estate Appeal case filing,سهاد الجبوري للمحاماة والإستشارات القانونية,6/12/2023,The Application Has Been Executed,2023/883 Real estate appeal,"Choose View Option
    View the application
    View the case
    View the payment receipt"
2023/418888,Labor-appeal case filing,سهاد الجبوري للمحاماة والإستشارات القانونية,6/12/2023,The Application Has Been Executed,2023/1876 Labor appeal,"Choose View Option
    View the application
    View the case
    View the payment receipt"
2023/416746,Personal Status of Muslims case filing,سهاد الجبوري للمحاماة والإستشارات القانونية,5/12/2023,Case Filed,"2023/3364 Personal Status, Muslim","Choose View Option
    View the application
    View the case
    View the payment receipt"
2023/415404,Real Estate Appeal case filing,سهاد الجبوري للمحاماة والإستشارات القانونية,1/12/2023,The Application Has Been Executed,2023/865 Real estate appeal,"Choose View Option
    View the application
    View the case
    View the payment receipt"
2023/414994,Real Estate Execution case filing,سهاد الجبوري للمحاماة والإستشارات القانونية,1/12/2023,Case Filed,"2023/1071 Execution, real estate","Choose View Option
    View the application
    View the case
    View the payment receipt"
2023/414912,Commercial execution case filing,سهاد الجبوري للمحاماة والإستشارات القانونية,1/12/2023,Case Filed,"2023/7732 Execution, commercial","Choose View Option
    View the application
    View the case
    View the payment receipt"
2023/414805,Real Estate Execution case filing,سهاد الجبوري للمحاماة والإستشارات القانونية,1/12/2023,Rejected (The Application Has Been Previously Submitted),,"Choose View Option
    View the application"
2023/414438,Real estate Cassation Appeal case filing,سهاد الجبوري للمحاماة والإستشارات القانونية,30-11-2023,Case Filed,"2023/892 Objection, real estate","Choose View Option
    View the application
    View the case
    View the payment receipt"
2023/413833,Commercial execution case filing,سهاد الجبوري للمحاماة والإستشارات القانونية,30-11-2023,Case Filed,"2023/7914 Execution, commercial","Choose View Option
    View the application
    View the case
    View the payment receipt"
2023/413035,Real Estate Execution case filing,سهاد الجبوري للمحاماة والإستشارات القانونية,29-11-2023,Case Filed,"2023/1059 Execution, real estate","Choose View Option
    View the application
    View the case
    View the payment receipt"
2023/412317,Value-Specific Dispute Case Filing,سهاد الجبوري للمحاماة والإستشارات القانونية,29-11-2023,The Application Has Been Executed,2023/12202 Value-Specific Dispute,"Choose View Option
    View the application
    View the case
    View the payment receipt"
2023/412172,Payment order case filing,سهاد الجبوري للمحاماة والإستشارات القانونية,29-11-2023,The Application Has Been Executed,2023/2439 Performance order,"Choose View Option
    View the application
    View the case
    View the payment receipt"
2023/411265,Real Estate Execution case filing,سهاد الجبوري للمحاماة والإستشارات القانونية,28-11-2023,Rejected (The Application Has Been Previously Submitted),,"Choose View Option
    View the application"
2023/410559,Real estate Cassation Appeal case filing,سهاد الجبوري للمحاماة والإستشارات القانونية,28-11-2023,Case Filed,"2023/876 Objection, real estate","Choose View Option
    View the application
    View the case
    View the payment receipt"
2023/410032,Substantive dispute in Cheques Execution,سهاد الجبوري للمحاماة والإستشارات القانونية,28-11-2023,Case Filed,2023/1065 Substantive dispute in Cheques Execution,"Choose View Option
    View the application
    View the case
    View the payment receipt"
2023/409164,Expert Appointment,سهاد الجبوري للمحاماة والإستشارات القانونية,27-11-2023,The Application Has Been Executed,2023/884 Expert Appointment,"Choose View Option
    View the application
    View the case
    View the payment receipt"
2023/408964,Real Estate Execution case filing,سهاد الجبوري للمحاماة والإستشارات القانونية,27-11-2023,Case Filed,"2023/1045 Execution, real estate","Choose View Option
    View the application
    View the case
    View the payment receipt"
2023/408881,Real Estate Execution case filing,سهاد الجبوري للمحاماة والإستشارات القانونية,27-11-2023,Case Filed,"2023/1033 Execution, real estate","Choose View Option
    View the application
    View the case
    View the payment receipt"
2023/406495,Real Estates Case Filing,سهاد الجبوري للمحاماة والإستشارات القانونية,24-11-2023,The Application Has Been Executed,2023/1605 Real Estates,"Choose View Option
    View the application
    View the case
    View the payment receipt"
2023/406149,Civil Case Filing,سهاد الجبوري للمحاماة والإستشارات القانونية,24-11-2023,The Application Has Been Executed,2024/194 Civil,"Choose View Option
    View the application
    View the case
    View the payment receipt"
2023/405440,Value-Specific Dispute Case Filing,سهاد الجبوري للمحاماة والإستشارات القانونية,23-11-2023,The Application Has Been Executed,2023/12046 Value-Specific Dispute,"Choose View Option
    View the application
    View the case
    View the payment receipt"
2023/405368,Labor-appeal case filing,سهاد الجبوري للمحاماة والإستشارات القانونية,23-11-2023,The Application Has Been Executed,2023/1839 Labor appeal,"Choose View Option
    View the application
    View the case
    View the payment receipt"
2023/404924,Non-Muslims conjugal cases case filing,سهاد الجبوري للمحاماة والإستشارات القانونية,23-11-2023,Rejected (Application Submission Is Invalid),,"Choose View Option
    View the application"
2023/404704,Commercial Case Filing,سهاد الجبوري للمحاماة والإستشارات القانونية,23-11-2023,The Application Has Been Executed,2023/5136 Commercial,"Choose View Option
    View the application
    View the case
    View the payment receipt"
2023/400021,Real Estates Case Filing,سهاد الجبوري للمحاماة والإستشارات القانونية,20-11-2023,The Application Has Been Executed,2023/1590 Real Estates,"Choose View Option
    View the application
    View the case
    View the payment receipt"
2023/396764,Real Estates Case Filing,سهاد الجبوري للمحاماة والإستشارات القانونية,17-11-2023,The Application Has Been Executed,2023/1556 Real Estates,"Choose View Option
    View the application
    View the case
    View the payment receipt"
2023/396703,Share'i execution case filing,سهاد الجبوري للمحاماة والإستشارات القانونية,17-11-2023,Case Filed,"2023/1555 Execution, Sharia","Choose View Option
    View the application
    View the case
    View the payment receipt"
2023/394350,Real Estate Appeal case filing,سهاد الجبوري للمحاماة والإستشارات القانونية,15-11-2023,The Application Has Been Executed,2023/807 Real estate appeal,"Choose View Option
    View the application
    View the case
    View the payment receipt"
2023/393700,Real Estate Appeal case filing,سهاد الجبوري للمحاماة والإستشارات القانونية,15-11-2023,The Application Has Been Executed,2023/810 Real estate appeal,"Choose View Option
    View the application
    View the case
    View the payment receipt"
2023/392507,Labor-appeal case filing,سهاد الجبوري للمحاماة والإستشارات القانونية,14-11-2023,The Application Has Been Executed,2023/1775 Labor appeal,"Choose View Option
    View the application
    View the case
    View the payment receipt"
2023/387508,Commercial execution case filing,سهاد الجبوري للمحاماة والإستشارات القانونية,10/11/2023,Case Filed,"2023/7291 Execution, commercial","Choose View Option
    View the application
    View the case
    View the payment receipt"
2023/387491,Real Estate Appeal case filing,سهاد الجبوري للمحاماة والإستشارات القانونية,10/11/2023,The Application Has Been Executed,2023/797 Real estate appeal,"Choose View Option
    View the application
    View the case
    View the payment receipt"
2023/383652,Appeal personal status and estates case filing,سهاد الجبوري للمحاماة والإستشارات القانونية,8/11/2023,The Application Has Been Executed,2023/2100 Appeal of personal status and inheritance,"Choose View Option
    View the application
    View the case
    View the payment receipt"
2023/381989,Commercial appeal case filing,سهاد الجبوري للمحاماة والإستشارات القانونية,7/11/2023,The Application Has Been Executed,2023/2074 Commercial appeal,"Choose View Option
    View the application
    View the case
    View the payment receipt"
2023/376550,Real Estates Case Filing,سهاد الجبوري للمحاماة والإستشارات القانونية,2/11/2023,The Application Has Been Executed,2023/1443 Real Estates,"Choose View Option
    View the application
    View the case
    View the payment receipt"
2023/372905,Real estate Cassation Appeal case filing,سهاد الجبوري للمحاماة والإستشارات القانونية,31-10-2023,Case Filed,"2023/813 Objection, real estate","Choose View Option
    View the application
    View the case
    View the payment receipt"
2023/370925,Commercial appeal case filing,سهاد الجبوري للمحاماة والإستشارات القانونية,30-10-2023,The Application Has Been Executed,2023/2013 Commercial appeal,"Choose View Option
    View the application
    View the case
    View the payment receipt"
2023/368498,Value-Specific Dispute Case Filing,سهاد الجبوري للمحاماة والإستشارات القانونية,27-10-2023,The Application Has Been Executed,2023/10852 Value-Specific Dispute,"Choose View Option
    View the application
    View the case
    View the payment receipt"
2023/367506,Commercial execution case filing,سهاد الجبوري للمحاماة والإستشارات القانونية,26-10-2023,Case Filed,"2023/6855 Execution, commercial","Choose View Option
    View the application
    View the case
    View the payment receipt"
2023/367354,Order on Travel Ban,سهاد الجبوري للمحاماة والإستشارات القانونية,26-10-2023,The Application Has Been Executed,2023/1560 Order on Travel Ban,"Choose View Option
    View the application
    View the case
    View the payment receipt"
2023/367020,Real Estate Appeal case filing,سهاد الجبوري للمحاماة والإستشارات القانونية,26-10-2023,The Application Has Been Executed,2023/760 Real estate appeal,"Choose View Option
    View the application
    View the case
    View the payment receipt"
2023/366036,Real Estates Case Filing,سهاد الجبوري للمحاماة والإستشارات القانونية,25-10-2023,The Application Has Been Executed,2023/1406 Real Estates,"Choose View Option
    View the application
    View the case
    View the payment receipt"
2023/365836,Civil appeal case filing,سهاد الجبوري للمحاماة والإستشارات القانونية,25-10-2023,The Application Has Been Executed,2023/1478 Civil appeal,"Choose View Option
    View the application
    View the case
    View the payment receipt"
2023/365493,Real Estate Appeal case filing,سهاد الجبوري للمحاماة والإستشارات القانونية,25-10-2023,The Application Has Been Executed,2023/749 Real estate appeal,"Choose View Option
    View the application
    View the case
    View the payment receipt"
2023/365396,Real Estates Case Filing,سهاد الجبوري للمحاماة والإستشارات القانونية,25-10-2023,The Application Has Been Executed,2023/1428 Real Estates,"Choose View Option
    View the application
    View the case
    View the payment receipt"
2023/364749,Personal Status of Muslims case filing,سهاد الجبوري للمحاماة والإستشارات القانونية,25-10-2023,Case Filed,"2023/2917 Personal Status, Muslim","Choose View Option
    View the application
    View the case
    View the payment receipt"
2023/358946,"Petition for review, real estate, appeal case filing",سهاد الجبوري للمحاماة والإستشارات القانونية,20-10-2023,The Application Has Been Executed,"2023/14 Petition for review, real estate, appeal","Choose View Option
    View the application
    View the case
    View the payment receipt"
2023/352298,Real Estate Appeal case filing,سهاد الجبوري للمحاماة والإستشارات القانونية,16-10-2023,The Application Has Been Executed,2023/711 Real estate appeal,"Choose View Option
    View the application
    View the case
    View the payment receipt"
2023/349542,Real Estate Execution case filing,سهاد الجبوري للمحاماة والإستشارات القانونية,13-10-2023,Case Filed,"2023/938 Execution, real estate","Choose View Option
    View the application
    View the case
    View the payment receipt"
